2017-05-09 01:17:01.066519,858542,446898,MMA6164,Movies & TV Shows,Bleach - Complete Series,MADMAN,2017-06-07,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/bleach-complete-series/446898/
2017-05-09 01:17:05.617474,858612,446989,MMA7100,Movies & TV Shows,One Man Punch - Season 1,MADMAN,2017-06-07,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/one-man-punch-season-1/446989/
2017-05-09 01:17:10.179210,858622,446997,MMA7100LE,Movies & TV Shows,One Man Punch - Season 1 (Collector's Edition),MADMAN,2017-06-07,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/one-man-punch-season-1-collectors-edition/446997/
2017-05-09 01:17:14.939999,858625,446993,MMA7100BR,Movies & TV Shows,One Man Punch - Season 1,MADMAN,2017-06-07,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/one-man-punch-season-1/446993/
2017-05-09 01:17:19.625935,858614,447021,MMA6168,Movies & TV Shows,Sailor Moon R: The Movie,MADMAN,2017-06-07,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/sailor-moon-r-the-movie/447021/
2017-05-09 01:17:24.276395,858623,447037,MMA6150BR,Movies & TV Shows,Steins;Gate - The Movie: Load Region of Déjà Vu,MADMAN,2017-06-07,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/steinsgate-the-movie-load-region-of-deja-vu/447037/
2017-05-09 01:17:29.082252,858633,447057,NTG1239,Movies & TV Shows,Story of God with Morgan Freeman- The - Season 2,MADMAN,2017-06-07,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-documentary/story-of-god-with-morgan-freeman-the-season-2/447057/
2017-05-09 01:17:33.643349,858638,447033,MMA6150,Movies & TV Shows,Steins;Gate - The Movie: Load Region of Déjà Vu,MADMAN,2017-06-07,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/steinsgate-the-movie-load-region-of-deja-vu/447033/
2017-05-09 01:17:38.244893,858639,446979,MMA6813,Movies & TV Shows,Luck & Logic - The Complete Series,MADMAN,2017-06-07,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/luck-logic-the-complete-series/446979/
2017-05-09 01:27:50.039698,828784,942700,C-124143-9,Movies & TV Shows,They Came Together,REEL,2016-05-11,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/they-came-together/942700/
2017-05-09 01:27:54.812963,828570,942716,C-124147-9,Movies & TV Shows,Seeking a Friend For The End of The World,REEL,2016-05-11,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/seeking-a-friend-for-the-end-of-the-world/942716/
2017-05-09 01:27:59.402954,826750,936250,C-123928-9,Movies & TV Shows,He Never Died,REEL,2016-04-13,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/he-never-died/936250/
2017-05-09 01:28:04.145016,825065,930157,C-124123-9,Movies & TV Shows,Colombiana,REEL,2016-03-09,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/colombiana/930157/
2017-05-09 01:28:08.818912,824924,930161,C-124124-9,Movies & TV Shows,I Don't Know How She Does It?,REEL,2016-03-09,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/i-dont-know-how-she-does-it/930161/
2017-05-09 01:28:13.632181,824920,930193,C-124150-9,Movies & TV Shows,Life Happens,REEL,2016-03-09,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/life-happens/930193/
2017-05-09 01:28:18.636283,825066,930113,C-124120-9,Movies & TV Shows,Close Range,REEL,2016-03-09,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/close-range/930113/
2017-05-09 01:28:27.623210,821963,856240,C-123968-9,Movies & TV Shows,Demonic,REEL,2016-01-06,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/demonic/856240/
2017-05-09 01:28:32.523652,816144,802313,C-115050-9,Movies & TV Shows,Cooties,REEL,2015-11-18,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/cooties/802313/
2017-05-09 01:28:37.582258,815813,802285,C-114576-9,Movies & TV Shows,Get Over It,REEL,2015-11-11,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/get-over-it/802285/
2017-05-09 01:28:42.735888,813420,771437,C-122475-9,Movies & TV Shows,Visions,REEL,2015-10-21,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/visions/771437/
2017-05-09 01:28:47.837094,813422,771445,C-115342-9,Movies & TV Shows,June,REEL,2015-10-21,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/june/771445/
2017-05-09 01:28:56.444598,813425,771734,C-123016-9,Movies & TV Shows,Never Back Down,REEL,2015-10-07,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/never-back-down/771734/
2017-05-09 01:28:59.849876,811197,761674,C-122958-9,Movies & TV Shows,Guest- The,REEL,2015-09-09,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/thriller/guest-the/761674/
