2017-03-21 01:04:24.954545,790384,637848,MMA5327,Movies & TV Shows,Fairy Tail Collection 12,MADMAN,2014-11-26,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/fairy-tail-collection-12/637848/
2017-03-21 01:04:29.381601,788201,624153,MMA5279,Movies & TV Shows,Kill La Kill - Volume 1,MADMAN,2014-10-15,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/kill-la-kill-volume-1/624153/
2017-03-21 01:04:33.675080,788252,624197,MMA8879,Movies & TV Shows,Mobile Suit Gundam - Series Collection,MADMAN,2014-10-15,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/mobile-suit-gundam-series-collection/624197/
2017-03-21 01:04:38.452885,784994,587273,MMA5307,Movies & TV Shows,Fairy Tail Collection 11,MADMAN,2014-09-17,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/fairy-tail-collection-11/587273/
2017-03-21 01:04:43.265980,783012,581364,MMA5304,Movies & TV Shows,Dog & Scissors Series Collection,MADMAN,2014-08-20,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/dog-scissors-series-collection/581364/
2017-03-21 01:04:51.469864,778739,565095,MMA1146,Movies & TV Shows,One Piece (Uncut) - Collection 27,MADMAN,2014-07-23,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/one-piece-uncut-collection-27/565095/
2017-03-21 01:04:56.709552,778740,565079,MMAA5399,Movies & TV Shows,Haganai Next - Season 2,MADMAN,2014-07-23,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/haganai-next-season-2/565079/
2017-03-21 01:05:01.523706,778745,565071,MMA5573,Movies & TV Shows,Fairy Tail Collection 10,MADMAN,2014-07-23,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/fairy-tail-collection-10/565071/
2017-03-21 01:05:06.418835,778392,563504,MMA1145,Movies & TV Shows,One Piece (Uncut) - Collection 26,MADMAN,2014-06-18,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/one-piece-uncut-collection-26/563504/
2017-03-21 01:05:11.264165,778391,563468,MMA5569,Movies & TV Shows,Fairy Tail Collection 9,MADMAN,2014-06-18,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/fairy-tail-collection-9/563468/
