2017-04-08 01:22:46.001809,855189,360557,88985416472,Music,Madness- The (Special Edition),SONY MUSIC SBT,2017-03-24,https://www.jbhifi.com.au/music/browse/metal-hard-rock/madness-the-special-edition/360557/
2017-04-08 01:22:50.819334,855198,360397,FRCDVD777,Music,Don't Let Up (Deluxe Edition),SONY MUSIC SBT,2017-03-24,https://www.jbhifi.com.au/music/browse/metal-hard-rock/dont-let-up-deluxe-edition/360397/
2017-04-08 01:22:55.764627,855200,360401,FRCD779,Music,One Desire,SONY MUSIC SBT,2017-03-24,https://www.jbhifi.com.au/music/browse/metal-hard-rock/one-desire/360401/
2017-04-08 01:23:00.763518,855203,360405,88985404912,Music,Psalms- The,SONY MUSIC SBT,2017-03-24,https://www.jbhifi.com.au/music/browse/country/psalms-the/360405/
2017-04-08 01:23:05.444850,855207,360381,FRCD778,Music,Momentum,SONY MUSIC SBT,2017-03-24,https://www.jbhifi.com.au/music/browse/metal-hard-rock/momentum/360381/
2017-04-08 01:23:10.553271,855208,360389,FRCD780,Music,Saint Of The Lost Souls,SONY MUSIC SBT,2017-03-24,https://www.jbhifi.com.au/music/browse/metal-hard-rock/saint-of-the-lost-souls/360389/
2017-04-08 01:23:15.595938,855280,360503,7567866202,Music,Tremaine: The Album,WARNER,2017-03-24,https://www.jbhifi.com.au/music/browse/urban-rap/tremaine-the-album/360503/
2017-04-08 01:23:20.501618,855342,360717,SLANG50122,Music,Fantezi Müzik,WARNER/INERTIA,2017-03-24,https://www.jbhifi.com.au/music/browse/alternative/fantezi-muzik/360717/
2017-04-08 01:23:25.337774,855344,360713,LM041CD,Music,Feel Infinite,WARNER/INERTIA,2017-03-24,https://www.jbhifi.com.au/music/browse/electronic/feel-infinite/360713/
2017-04-08 01:23:30.450430,855350,360689,STH2382B,Music,II,WARNER/INERTIA,2017-03-24,https://www.jbhifi.com.au/music/browse/funk-soul/ii/360689/
2017-04-08 01:23:39.630960,851346,332531,CRE3771202,Music,Order Of Time- The,UMA SBT,2017-03-17,https://www.jbhifi.com.au/music/browse/blues-roots/order-of-time-the/332531/
2017-04-08 01:23:44.115568,852675,336664,88985328942,Music,So Good,SONY MUSIC SBT,2017-03-17,https://www.jbhifi.com.au/music/browse/pop/so-good/336664/
2017-04-08 01:23:48.944090,852723,336600,538260250,Music,Regina Spektor - Live On Soundstage (Limited Edition),WARNER,2017-03-17,https://www.jbhifi.com.au/music/browse/alternative/regina-spektor-live-on-soundstage-limited-edition/336600/
2017-04-08 01:23:53.956684,853055,336645,4773081,Music,Things I've Never Said (Deluxe Edition),UMA SBT,2017-03-17,https://www.jbhifi.com.au/music/browse/pop/things-ive-never-said-deluxe-edition/336645/
2017-04-08 01:23:58.453024,853112,336714,OLE11282,Music,Hot Thoughts,WARNER/INERTIA,2017-03-17,https://www.jbhifi.com.au/music/browse/alternative/hot-thoughts/336714/
2017-04-08 01:24:03.394386,854547,353009,88985374582,Music,John Williams & Steven Spielberg: The Ultimate Collection,SONY MUSIC SBT,2017-03-17,https://www.jbhifi.com.au/music/browse/soundtrack/john-williams-steven-spielberg-the-ultimate-collection/353009/
2017-04-08 01:24:08.470863,854567,352981,FRCDDVD752,Music,Seventh Wonder: Welcome To Atlanta Live 2014 (Deluxe Edition),SONY MUSIC SBT,2017-03-17,https://www.jbhifi.com.au/music/browse/metal-hard-rock/seventh-wonder-welcome-to-atlanta-live-2014-deluxe-edition/352981/
2017-04-08 01:24:13.493910,854590,352958,SJRCD371,Music,Vodou Drums In Haiti 2: The Living Gods Of Haiti – 21st Century Ritual Drums & Spirit Possession,WARNER/INERTIA,2017-03-17,https://www.jbhifi.com.au/music/browse/world-music/vodou-drums-in-haiti-2-the-living-gods-of-haiti-21st-century-ritual-drums-spirit/352958/
2017-04-08 01:24:18.237004,854621,352933,RES150,Music,Now That I Have Seen I Am Responsible,UMA SBT,2017-03-17,https://www.jbhifi.com.au/music/browse/hardcore-punk/now-that-i-have-seen-i-am-responsible/352933/
2017-04-08 01:24:22.950672,854768,360390,7559794017,Music,Saluatations,WARNER,2017-03-17,https://www.jbhifi.com.au/music/browse/alternative/saluatations/360390/
