2017-04-25 01:23:00.951681,821907,856038,EAG2950,Movies & TV Shows,Take Care,GRYPHON,2016-01-20,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/take-care/856038/
2017-04-25 01:23:06.249529,821873,856029,EAG2951,Movies & TV Shows,Devil's Hand- The,GRYPHON,2016-01-20,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/devils-hand-the/856029/
2017-04-25 01:23:11.482746,821875,856180,MP112,Movies & TV Shows,Silent Night,GRYPHON,2015-12-09,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/silent-night/856180/
2017-04-25 01:23:16.285328,821876,856164,MP114,Movies & TV Shows,POD,GRYPHON,2015-12-09,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/pod/856164/
2017-04-25 01:23:21.448776,821908,856185,EAG3005,Movies & TV Shows,After The Ball,GRYPHON,2015-12-09,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/after-the-ball/856185/
2017-04-25 01:23:26.760881,821912,856211,EAG2925,Movies & TV Shows,Rushlights,GRYPHON,2015-12-09,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/thriller/rushlights/856211/
2017-04-25 01:23:32.032404,821928,856196,EAG2983,Movies & TV Shows,Haunt,GRYPHON,2015-12-09,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/haunt/856196/
2017-04-25 01:23:37.300414,821932,856152,MP073,Movies & TV Shows,Lost After Dark,GRYPHON,2015-12-09,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/lost-after-dark/856152/
2017-04-25 01:23:42.045911,820268,839552,EAG2944,Movies & TV Shows,Dark Was the Night,GRYPHON,2015-11-25,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/dark-was-the-night/839552/
2017-04-25 01:23:47.493191,820211,839452,MP094,Movies & TV Shows,Editor- The,GRYPHON,2015-11-25,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/editor-the/839452/
2017-04-25 01:23:52.322867,820220,839480,MP101,Movies & TV Shows,Hope Lost,GRYPHON,2015-11-25,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/thriller/hope-lost/839480/
2017-04-25 01:23:56.801354,820260,839560,EAG2994,Movies & TV Shows,My Man Is A Loser,GRYPHON,2015-11-25,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/my-man-is-a-loser/839560/
2017-04-25 01:24:02.075089,820259,839540,EAG3006,Movies & TV Shows,As Cool As I Am,GRYPHON,2015-11-25,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/as-cool-as-i-am/839540/
2017-04-25 01:24:06.735160,815856,802293,C-123020-9,Movies & TV Shows,Swordfish,REEL,2015-11-11,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/swordfish/802293/
2017-04-25 01:24:12.314885,815895,802297,C-123021-9,Movies & TV Shows,Yes Man,REEL,2015-11-11,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/yes-man/802297/
2017-04-25 01:24:17.212546,815238,765883,MP091,Movies & TV Shows,Back Country,GRYPHON,2015-10-21,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/back-country/765883/
2017-04-25 01:24:22.210041,815261,765939,MP069,Movies & TV Shows,White Settlers,GRYPHON,2015-10-21,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/white-settlers/765939/
2017-04-25 01:24:26.998555,815395,765971,EAG2989,Movies & TV Shows,Key Man- The,GRYPHON,2015-10-21,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/thriller/key-man-the/765971/
2017-04-25 01:24:32.182016,815405,765777,EAG2998,Movies & TV Shows,Pack- The,GRYPHON,2015-10-21,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/pack-the/765777/
2017-04-25 01:24:40.423143,815406,765963,EAG2997,Movies & TV Shows,Superfast & Superfurious,GRYPHON,2015-10-21,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/superfast-superfurious/765963/
2017-04-25 01:24:45.261472,813423,771730,C-123015-9,Movies & TV Shows,Last House on the Left- The,REEL,2015-10-07,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/last-house-on-the-left-the/771730/
2017-04-25 01:24:49.825182,813419,771722,C-123012-9,Movies & TV Shows,Crow- The,REEL,2015-10-07,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/thriller/crow-the/771722/
2017-04-25 01:24:55.049972,813606,771726,C-123013-9,Movies & TV Shows,Drag Me To Hell,REEL,2015-10-07,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/drag-me-to-hell/771726/
2017-04-25 01:25:00.146506,813424,771718,C-123011-9,Movies & TV Shows,Collector- The,REEL,2015-10-07,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/collector-the/771718/
2017-04-25 01:25:05.183250,811657,761612,DE5847,Movies & TV Shows,D Train- The,UNISPHE,2015-09-24,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/d-train-the/761612/
2017-04-25 01:25:10.011330,813480,771658,MP087,Movies & TV Shows,Plague,GRYPHON,2015-09-23,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/plague/771658/
2017-04-25 01:25:15.418728,813556,771736,EAG2930,Movies & TV Shows,First Time- The,GRYPHON,2015-09-23,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/first-time-the/771736/
2017-04-25 01:25:20.725848,813560,771740,EAG2948,Movies & TV Shows,What to Expect When You're Not Expecting,GRYPHON,2015-09-23,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/what-to-expect-when-youre-not-expecting/771740/
2017-04-25 01:25:26.058916,813571,771636,MP085,Movies & TV Shows,Fury: The Tales of Ronan Pierce,GRYPHON,2015-09-23,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/fury-the-tales-of-ronan-pierce/771636/
2017-04-25 01:25:31.067350,813574,771720,EAG2943,Movies & TV Shows,7 Minutes,GRYPHON,2015-09-23,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/thriller/7-minutes/771720/
2017-04-25 01:25:36.069868,813657,771667,MP089,Movies & TV Shows,Mimesis,GRYPHON,2015-09-23,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/mimesis/771667/
2017-04-25 01:25:41.467353,807905,725674,EAG2946,Movies & TV Shows,AWOL-72,GRYPHON,2015-08-19,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/awol-72/725674/
2017-04-25 01:25:46.319708,807906,725682,EAG2966,Movies & TV Shows,Jay & Silent Bob's Super Groovy Cartoon Movie,GRYPHON,2015-08-19,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/jay-silent-bobs-super-groovy-cartoon-movie/725682/
2017-04-25 01:25:51.416406,807907,725690,EAG2942,Movies & TV Shows,Match,GRYPHON,2015-08-19,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/match/725690/
2017-04-25 01:25:56.491222,807942,725634,MP080,Movies & TV Shows,Muck,GRYPHON,2015-08-19,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/muck/725634/
2017-04-25 01:26:01.578835,807946,725602,MP084,Movies & TV Shows,From Parts Unknown: Fight Like a Girl,GRYPHON,2015-08-19,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/from-parts-unknown-fight-like-a-girl/725602/
2017-04-25 01:26:06.675159,807947,725594,MP078,Movies & TV Shows,Dead Sea,GRYPHON,2015-08-19,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/dead-sea/725594/
2017-04-25 01:26:11.810850,807762,725688,EAG2947,Movies & TV Shows,Expecting,GRYPHON,2015-07-22,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/expecting/725688/
2017-04-25 01:26:16.412412,807792,725708,EAG2941,Movies & TV Shows,Pound of Flesh,GRYPHON,2015-07-22,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/pound-of-flesh/725708/
2017-04-25 01:26:21.349811,803612,704818,MP070,Movies & TV Shows,Claypot Curry Killers,GRYPHON,2015-07-22,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/claypot-curry-killers/704818/
2017-04-25 01:26:26.356879,805143,712548,EAG2928,Movies & TV Shows,Trials of Cate McCall- The,GRYPHON,2015-06-24,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/thriller/trials-of-cate-mccall-the/712548/
