2017-05-06 01:24:36.292708,785131,587290,IFS828BL,Movies & TV Shows,Belle,ICON,2014-09-10,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/belle/587290/
2017-05-06 01:24:40.677914,785156,587342,AUPBD4303,Movies & TV Shows,Bad Grandpa .5,UNISPHE,2014-09-10,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/bad-grandpa-5/587342/
2017-05-06 01:24:45.361413,783053,572149,DC4967,Movies & TV Shows,Bad Neighbours,UNISPHE,2014-08-28,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/bad-neighbours/572149/
2017-05-06 01:24:50.246953,783054,572153,BDC4967,Movies & TV Shows,Bad Neighbours,UNISPHE,2014-08-28,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/bad-neighbours/572153/
2017-05-06 01:24:55.081300,781774,572013,BDC7671,Movies & TV Shows,Ride Along,UNISPHE,2014-07-17,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/ride-along/572013/
2017-05-06 01:24:59.772028,781779,572009,DC7671,Movies & TV Shows,Ride Along,UNISPHE,2014-07-17,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/ride-along/572009/
2017-05-06 01:25:04.318347,772396,533498,DBA5662,Movies & TV Shows,Oldboy,UNISPHE,2014-04-03,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/oldboy/533498/
2017-05-06 01:25:13.014361,772408,533494,BDBA5662,Movies & TV Shows,Oldboy,UNISPHE,2014-04-03,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/oldboy/533494/
2017-05-06 01:25:17.686895,769800,526268,AUDVD9577,Movies & TV Shows,Bad Grandpa,UNISPHE,2014-03-26,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/bad-grandpa/526268/
2017-05-06 01:25:22.600445,769787,526276,AUPBD4173,Movies & TV Shows,Bad Grandpa (Extended Cut),UNISPHE,2014-03-26,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/bad-grandpa-extended-cut/526276/
2017-05-06 01:25:27.230955,769032,521508,R-114447-8,Movies & TV Shows,Hunger Games- The: Catching Fire,ROADSHOW,2014-03-19,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/adventure/hunger-games-the-catching-fire/521508/
2017-05-06 01:25:31.864717,769031,521504,R-114447-9,Movies & TV Shows,Hunger Games- The: Catching Fire,ROADSHOW,2014-03-19,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/adventure/hunger-games-the-catching-fire/521504/
2017-05-06 01:25:36.928236,766500,494551,DVD9336,Movies & TV Shows,Frances Ha,UNISPHE,2014-01-08,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/frances-ha/494551/
2017-05-06 01:25:41.837863,763634,481507,IFBD839OG,Movies & TV Shows,Only God Forgives,ICON,2013-12-04,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/only-god-forgives/481507/
2017-05-06 01:25:46.344978,762765,468330,AUPBD4164,Movies & TV Shows,Lara Croft Tomb Raider: The Cradle Of Life,UNISPHE,2013-11-06,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/adventure/lara-croft-tomb-raider-the-cradle-of-life/468330/
2017-05-06 01:25:51.305195,762764,468326,AUPBD4142,Movies & TV Shows,Jackass 3.5,UNISPHE,2013-11-06,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/jackass-3-5/468326/
2017-05-06 01:25:55.965860,760085,450428,R-114002-9,Movies & TV Shows,Hunger Games- The,ROADSHOW,2013-10-30,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/adventure/hunger-games-the/450428/
2017-05-06 01:26:00.728547,760089,450424,R-114002-8,Movies & TV Shows,Hunger Games- The,ROADSHOW,2013-10-30,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/adventure/hunger-games-the/450424/
2017-05-06 01:26:05.149312,763164,481620,BDK10019,Movies & TV Shows,Taxi Driver,UNISPHE,2013-10-24,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/taxi-driver/481620/
2017-05-06 01:26:09.668862,760741,385021,BD11604,Movies & TV Shows,Rambo: First Blood Part 2,UNISPHE,2013-09-20,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/rambo-first-blood-part-2/385021/
2017-05-06 01:26:14.226845,571952,410438,AUDWL2142,Movies & TV Shows,Hansel & Gretel: Witch Hunters,UNISPHE,2013-06-12,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/hansel-gretel-witch-hunters/410438/
2017-05-06 01:26:18.995401,754964,438926,AUPBD3957,Movies & TV Shows,Hansel & Gretel: Witch Hunters,UNISPHE,2013-06-12,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/hansel-gretel-witch-hunters/438926/
2017-05-06 01:26:23.519597,763819,468674,AUPBD3958,Movies & TV Shows,Hansel & Gretel: Witch Hunters,UNISPHE,2013-06-12,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/hansel-gretel-witch-hunters/468674/
2017-05-06 01:26:28.390623,668055,348954,BDB1028,Movies & TV Shows,Twilight Saga: Breaking Dawn Part 2,UNISPHE,2013-03-20,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/twilight-saga-breaking-dawn-part-2/348954/
2017-05-06 01:26:32.922037,434281,353564,IFB2D725DD,Movies & TV Shows,Dredd,ICON,2013-03-20,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/dredd/353564/
2017-05-06 01:26:37.479148,572999,348958,DB1028,Movies & TV Shows,Twilight Saga: Breaking Dawn Part 2,UNISPHE,2013-03-20,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/twilight-saga-breaking-dawn-part-2/348958/
2017-05-06 01:26:41.782566,667308,384976,IFBD725DD,Movies & TV Shows,Dredd,ICON,2013-03-20,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/dredd/384976/
2017-05-06 01:26:46.683824,711035,357123,AUPBD4031,Movies & TV Shows,Escape From Alcatraz,UNISPHE,2013-03-06,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/escape-from-alcatraz/357123/
2017-05-06 01:26:51.068436,573234,308619,D83294,Movies & TV Shows,Resident Evil: Retribution,UNISPHE,2013-01-10,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/resident-evil-retribution/308619/
2017-05-06 01:26:55.699873,504278,308691,BD83294,Movies & TV Shows,Resident Evil: Retribution,UNISPHE,2013-01-10,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/resident-evil-retribution/308691/
2017-05-06 01:27:00.189970,504394,308687,B3D83294,Movies & TV Shows,Resident Evil: Retribution,UNISPHE,2013-01-10,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/resident-evil-retribution/308687/
2017-05-06 01:27:04.767922,669251,311667,AUPBD3715,Movies & TV Shows,Catch Me If You Can,UNISPHE,2012-12-05,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/catch-me-if-you-can/311667/
2017-05-06 01:27:09.176207,713248,309578,D89733,Movies & TV Shows,Snow White And The Huntsman,UNISPHE,2012-11-07,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/adventure/snow-white-and-the-huntsman/309578/
2017-05-06 01:27:13.565914,436643,309582,BD89733,Movies & TV Shows,Snow White And The Huntsman,UNISPHE,2012-11-07,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/adventure/snow-white-and-the-huntsman/309582/
2017-05-06 01:27:18.487264,713960,295902,IFBD681HI,Movies & TV Shows,Get The Gringo,ICON,2012-10-10,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/get-the-gringo/295902/
2017-05-06 01:27:23.187017,436855,291275,AUDVD9138,Movies & TV Shows,Dictator- The,UNISPHE,2012-10-04,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/dictator-the/291275/
2017-05-06 01:27:27.534265,713709,291287,AUPBD3873,Movies & TV Shows,Dictator- The,UNISPHE,2012-10-04,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/dictator-the/291287/
2017-05-06 01:27:32.461403,575639,306636,D80583,Movies & TV Shows,Resident Evil: Damnation,UNISPHE,2012-09-26,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/resident-evil-damnation/306636/
2017-05-06 01:27:40.647603,437284,304733,AUPBD3897,Movies & TV Shows,Clueless,UNISPHE,2012-08-08,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/clueless/304733/
2017-05-06 01:27:45.167875,437250,291188,BDP19464,Movies & TV Shows,Rambo Quadrilogy,UNISPHE,2012-08-01,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/rambo-quadrilogy/291188/
2017-05-06 01:27:50.062709,506957,291192,DP19464,Movies & TV Shows,Rambo Quadrilogy,UNISPHE,2012-08-01,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/rambo-quadrilogy/291192/
2017-05-06 01:27:54.598056,576697,290443,BDP21385,Movies & TV Shows,Underworld Quadrilogy,UNISPHE,2012-05-30,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/underworld-quadrilogy/290443/
