2017-04-06 01:26:42.518209,854773,389991,GPAACOV-001,Cameras,Gopro Protective Lens Replacement for HERO5,GOPRO,2017-03-01,https://www.jbhifi.com.au/cameras/camera-accessories/gopro/gopro-protective-lens-replacement-for-hero5/389991/
2017-04-06 01:26:58.928653,855167,324450,AGXTS-001,Cameras,GoPro El Grande Extension Pole,GOPRO,2017-03-08,https://www.jbhifi.com.au/cameras/camera-accessories/gopro/gopro-el-grande-extension-pole/324450/
2017-04-06 01:27:11.232969,854772,389990,GPAWALC-002,Cameras,Gopro Supercharger for HERO5,GOPRO,2017-03-01,https://www.jbhifi.com.au/cameras/gopro/gopro-supercharger-for-hero5/389990/
2017-04-06 01:30:03.386529,818211,810475,3801000036,Phones,Apple iPhone 6s 16GB (Silver),APPLE,2015-09-25,https://www.jbhifi.com.au/phones/Outright-Mobile-Handsets/apple/apple-iphone-6s-16gb-silver/810475/
2017-04-06 01:30:57.046816,854908,399424,EF-ZG950CFEGWW,Phones,Samsung Clear View Stand Cover for Galaxy S8 (Gold),SAMSUNG,2017-03-29,https://www.jbhifi.com.au/phones/all-phones/samsung/samsung-clear-view-stand-cover-for-galaxy-s8-gold/399424/
2017-04-06 01:31:01.897133,854904,399432,EF-ZG955CFEGWW,Phones,Samsung Clear View Stand Cover for Galaxy S8 Plus (Gold),SAMSUNG,2017-03-29,https://www.jbhifi.com.au/phones/all-phones/samsung/samsung-clear-view-stand-cover-for-galaxy-s8-plus-gold/399432/
2017-04-06 01:31:08.574521,854920,399425,EF-ZG950CLEGWW,Phones,Samsung Clear View Stand Cover for Galaxy S8 (Blue),SAMSUNG,2017-03-29,https://www.jbhifi.com.au/phones/all-phones/samsung/samsung-clear-view-stand-cover-for-galaxy-s8-blue/399425/
2017-04-06 01:31:12.856599,854922,399433,EF-ZG955CLEGWW,Phones,Samsung Clear View Stand Cover for Galaxy S8 Plus (Blue),SAMSUNG,2017-03-29,https://www.jbhifi.com.au/phones/all-phones/samsung/samsung-clear-view-stand-cover-for-galaxy-s8-plus-blue/399433/
2017-04-06 01:33:09.370556,800451,690095,CY1623PCCSL,Phones,Cygnett Zip 80cm Lightning Charge and Sync Cable (Black),CYGNETT,2013-04-01,https://www.jbhifi.com.au/phones/Phone-Accessories/cygnett/cygnett-zip-80cm-lightning-charge-and-sync-cable-black/690095/
2017-04-06 01:35:14.672538,854118,358453,SRSXB30W,iPods- Docks & Fitness,Sony SRSXB30 Portable Wireless Speaker (White),SONY,2017-02-20,https://www.jbhifi.com.au/ipods-docks-fitness/wireless-speakers/sony/sony-srsxb30-portable-wireless-speaker-white/358453/
2017-04-06 01:35:18.780737,854122,358452,SRSXB30R,iPods- Docks & Fitness,Sony SRSXB30 Portable Wireless Speaker (Red),SONY,2017-02-20,https://www.jbhifi.com.au/ipods-docks-fitness/wireless-speakers/sony/sony-srsxb30-portable-wireless-speaker-red/358452/
2017-04-06 01:35:23.027540,854123,358450,SRSXB30G,iPods- Docks & Fitness,Sony SRSXB30 Portable Wireless Speaker (Green),SONY,2017-02-20,https://www.jbhifi.com.au/ipods-docks-fitness/wireless-speakers/sony/sony-srsxb30-portable-wireless-speaker-green/358450/
2017-04-06 01:35:27.240144,854116,358451,SRSXB30L,iPods- Docks & Fitness,Sony SRSXB30 Portable Wireless Speaker (Blue),SONY,2017-02-20,https://www.jbhifi.com.au/ipods-docks-fitness/wireless-speakers/sony/sony-srsxb30-portable-wireless-speaker-blue/358451/
2017-04-06 01:35:35.542134,854119,358447,SRSXB20W,iPods- Docks & Fitness,Sony SRSXB20 Portable Wireless Speaker (White),SONY,2017-02-20,https://www.jbhifi.com.au/ipods-docks-fitness/wireless-speakers/sony/sony-srsxb20-portable-wireless-speaker-white/358447/
2017-04-06 01:35:40.131655,854125,358445,SRSXB20L,iPods- Docks & Fitness,Sony SRSXB20 Portable Wireless Speaker (Blue),SONY,2017-02-20,https://www.jbhifi.com.au/ipods-docks-fitness/wireless-speakers/sony/sony-srsxb20-portable-wireless-speaker-blue/358445/
2017-04-06 01:35:44.451518,854121,358444,SRSXB20G,iPods- Docks & Fitness,Sony SRSXB20 Portable Wireless Speaker (Green),SONY,2017-02-20,https://www.jbhifi.com.au/ipods-docks-fitness/wireless-speakers/sony/sony-srsxb20-portable-wireless-speaker-green/358444/
2017-04-06 01:35:48.762090,854126,358446,SRSXB20R,iPods- Docks & Fitness,Sony SRSXB20 Portable Wireless Speaker (Red),SONY,2017-02-20,https://www.jbhifi.com.au/ipods-docks-fitness/wireless-speakers/sony/sony-srsxb20-portable-wireless-speaker-red/358446/
2017-04-06 01:39:00.953836,855630,404015,3510891,Headphones & DJ,Jabra Sport Coach Bluetooth Headphones Special Edition (Blue),JABRA,2017-03-17,https://www.jbhifi.com.au/headphones-dj/headphones/jabra/jabra-sport-coach-bluetooth-headphones-special-edition-blue/404015/
2017-04-06 01:39:57.246063,851431,335311,506783,Headphones & DJ,Sennheiser HD 4.50 BTNC Over-Ear Wireless Headphones,SENNHEISER,2017-01-12,https://www.jbhifi.com.au/headphones-dj/headphones/sennheiser/sennheiser-hd-4-50-btnc-over-ear-wireless-headphones/335311/
2017-04-06 01:48:26.878569,855080,400155,VR20M7070WS/SA,Whitegoods & Appliances,Samsung PowerBot Plus Robotic Vacuum,SAMSUNG,2017-03-22,https://www.jbhifi.com.au/whitegoods-appliances/vacuums-floor-cleaners/samsung/samsung-powerbot-plus-robotic-vacuum/400155/
2017-04-06 01:48:30.997778,855082,400156,VR10M7030WW/SA,Whitegoods & Appliances,Samsung PowerBot Pro Robotic Vacuum,SAMSUNG,2017-04-01,https://www.jbhifi.com.au/whitegoods-appliances/vacuums-floor-cleaners/samsung/samsung-powerbot-pro-robotic-vacuum/400156/
