ID          SKU         ModelID     category             title                           brand       releaseDate  URL                                                                                            
830156      947915      MLQ82X/A    Computers & Tablets  Apple 9.7-inch iPad Pro 256GB   APPLE       2016-03-31   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-9-7-inch-ipad-pro-256gb-wi-fi-c
830157      947907      MLQ62X/A    Computers & Tablets  Apple 9.7-inch iPad Pro 256GB   APPLE       2016-03-31   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-9-7-inch-ipad-pro-256gb-wi-fi-c
830046      947882      ML0V2X/A    Computers & Tablets  Apple 12.9-inch iPad Pro 256GB  APPLE       2016-03-31   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-12-9-inch-ipad-pro-256gb-wi-fi-
830050      947874      ML0T2X/A    Computers & Tablets  Apple 12.9-inch iPad Pro 256GB  APPLE       2016-03-31   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-12-9-inch-ipad-pro-256gb-wi-fi-
843502      314264      80U10046AU  Computers & Tablets  Lenovo MIIX 510 12" 2-in-1 Tab  LENOVO      2016-10-01   https://www.jbhifi.com.au/computers-tablets/tablets/lenovo/lenovo-miix-510-12-2-in-1-tablet-wit
820871      843405      ML2K2X/A    Computers & Tablets  Apple 12.9-inch iPad Pro 128GB  APPLE       2015-10-28   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-12-9-inch-ipad-pro-128gb-wi-fi-
820872      843406      ML2J2X/A    Computers & Tablets  Apple 12.9-inch iPad Pro 128GB  APPLE       2015-10-28   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-12-9-inch-ipad-pro-128gb-wi-fi-
820873      843407      ML2I2X/A    Computers & Tablets  Apple 12.9-inch iPad Pro 128GB  APPLE       2015-10-28   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-12-9-inch-ipad-pro-128gb-wi-fi-
819313      837956      CR5-00006   Computers & Tablets  Microsoft Surface Pro 4 i5 128  MICROSOFT   2015-11-12   https://www.jbhifi.com.au/computers-tablets/tablets/microsoft/microsoft-surface-pro-4-i5-128gb-
830051      947886      ML2L2X/A    Computers & Tablets  Apple 12.9-inch iPad Pro 256GB  APPLE       2016-03-31   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-12-9-inch-ipad-pro-256gb-wi-fi-
830055      947894      ML2N2X/A    Computers & Tablets  Apple 12.9-inch iPad Pro 256GB  APPLE       2016-03-31   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-12-9-inch-ipad-pro-256gb-wi-fi-
819311      837960      CR3-00006   Computers & Tablets  Microsoft Surface Pro 4 i5 256  MICROSOFT   2015-11-12   https://www.jbhifi.com.au/computers-tablets/tablets/microsoft/microsoft-surface-pro-4-i5-256gb-
819316      837959      CQ9-00006   Computers & Tablets  Microsoft Surface Pro 4 i7 256  MICROSOFT   2015-12-15   https://www.jbhifi.com.au/computers-tablets/tablets/microsoft/microsoft-surface-pro-4-i7-256gb-
819315      837957      TH2-00006   Computers & Tablets  Microsoft Surface Pro 4 i7 256  MICROSOFT   2015-12-15   https://www.jbhifi.com.au/computers-tablets/tablets/microsoft/microsoft-surface-pro-4-i7-256gb-
819314      837958      TH4-00006   Computers & Tablets  Microsoft Surface Pro 4 i7 512  MICROSOFT   2015-12-15   https://www.jbhifi.com.au/computers-tablets/tablets/microsoft/microsoft-surface-pro-4-i7-512gb-
847585      326448      95F-00004   Computers & Tablets  Microsoft Surface Book with Pe  MICROSOFT   2016-12-08   https://www.jbhifi.com.au/computers-tablets/tablets/microsoft/microsoft-surface-book-with-perfo
838048      977136      SU4-00006   Computers & Tablets  Microsoft Surface Pro 4 i7 1TB  MICROSOFT   2016-07-08   https://www.jbhifi.com.au/computers-tablets/tablets/microsoft/microsoft-surface-pro-4-i7-1tb-ta
847584      326449      96D-00004   Computers & Tablets  Microsoft Surface Book with Pe  MICROSOFT   2016-12-08   https://www.jbhifi.com.au/computers-tablets/tablets/microsoft/microsoft-surface-book-with-perfo
847587      326450      975-00004   Computers & Tablets  Microsoft Surface Book with Pe  MICROSOFT   2016-12-08   https://www.jbhifi.com.au/computers-tablets/tablets/microsoft/microsoft-surface-book-with-perfo
849148      329917      Z510956AU   Computers & Tablets  Dell Inspiron 15-5000 15.6" La  DELL        2017-01-09   https://www.jbhifi.com.au/computers-tablets/laptops/dell/dell-inspiron-15-5000-15-6-laptop-i5/3
849147      329913      Z511272AU   Computers & Tablets  Dell Inspiron 15-7000 15.6" Ga  DELL-GAMIN  2017-01-09   https://www.jbhifi.com.au/computers-tablets/laptops/dell-gaming/dell-inspiron-15-7000-15-6-gami
849160      329921      Z511234AU   Computers & Tablets  Dell Inspiron 15-3000 15.6" La  DELL        2017-01-09   https://www.jbhifi.com.au/computers-tablets/laptops/dell/dell-inspiron-15-3000-15-6-laptop-i5/3
849156      329929      Z510833AU   Computers & Tablets  Dell Inspiron 11-3000 11.6" 2-  DELL        2017-01-09   https://www.jbhifi.com.au/computers-tablets/laptops/dell/dell-inspiron-11-3000-11-6-2-in-1-lapt
849149      314421      Z510872AU   Computers & Tablets  Dell Inspiron 13-7000 13.3" 2-  DELL        2017-01-09   https://www.jbhifi.com.au/computers-tablets/laptops/dell/dell-inspiron-13-7000-13-3-2-in-1-lapt
849265      330173      Z4P86PA     Computers & Tablets  HP 15-AY152TX 15.6" Laptop      HP          2017-01-02   https://www.jbhifi.com.au/computers-tablets/laptops/hp/hp-15-ay152tx-15-6-laptop/330173/       
849260      330169      Z6Y67PA     Computers & Tablets  HP Pavillion x360 13-U166TU 13  HP          2017-01-02   https://www.jbhifi.com.au/computers-tablets/laptops/hp/hp-pavillion-x360-13-u166tu-13-3-2-in-1-
849262      330176      Y8H67PA     Computers & Tablets  HP Stream 11-Y009TU 11.6" Lapt  HP          2017-01-02   https://www.jbhifi.com.au/computers-tablets/laptops/hp/hp-stream-11-y009tu-11-6-laptop/330176/ 
849264      330174      Y8H53PA     Computers & Tablets  HP Omen 17-W106TX 17" Gaming L  HP          2017-01-02   https://www.jbhifi.com.au/computers-tablets/laptops/hp/hp-omen-17-w106tx-17-gaming-laptop/33017
849259      330171      Z4P74PA     Computers & Tablets  HP 15-AY123TU 15.6" Laptop      HP          2017-01-02   https://www.jbhifi.com.au/computers-tablets/laptops/hp/hp-15-ay123tu-15-6-laptop/330171/       
849263      330172      Z4P76PA     Computers & Tablets  HP 15-AY125TU 15.6" Laptop      HP          2017-01-02   https://www.jbhifi.com.au/computers-tablets/laptops/hp/hp-15-ay125tu-15-6-laptop/330172/       
849269      330179      1DE84PA     Computers & Tablets  HP 15-BA052AU 15.6" Touchscree  HP          2017-01-02   https://www.jbhifi.com.au/computers-tablets/laptops/hp/hp-15-ba052au-15-6-touchscreen-laptop/33
849258      330170      Z4Q01PA     Computers & Tablets  HP 15-AY165TX 15.6" Laptop      HP          2017-01-02   https://www.jbhifi.com.au/computers-tablets/laptops/hp/hp-15-ay165tx-15-6-laptop/330170/       
849267      330175      Z6Y65PA     Computers & Tablets  HP Pavillion x360 13-U164TU 13  HP          2017-01-02   https://www.jbhifi.com.au/computers-tablets/laptops/hp/hp-pavillion-x360-13-u164tu-13-3-2-in-1-
849268      330180      Z6Y04PA     Computers & Tablets  HP Pavillion x360 11-U112TU X3  HP          2017-01-02   https://www.jbhifi.com.au/computers-tablets/laptops/hp/hp-pavillion-x360-11-u112tu-x360-11-6-2-
843513      314266      ZA150011AU  Computers & Tablets  Lenovo Yoga Book 64GB Windows   LENOVO      2016-11-01   https://www.jbhifi.com.au/computers-tablets/laptops/lenovo/lenovo-yoga-book-64gb-windows-tablet
845369      320575      80VF002TAU  Computers & Tablets  Lenovo Yoga 910 i7 13.9" 2-in-  LENOVO      2016-11-01   https://www.jbhifi.com.au/computers-tablets/laptops/lenovo/lenovo-yoga-910-i7-13-9-2-in-1-lapto
843373      954211      Z510842AU   Computers & Tablets  Dell Inspiron 13-5000 13" 2-in  DELL        2016-11-01   https://www.jbhifi.com.au/computers-tablets/laptops/dell/dell-inspiron-13-5000-13-2-in-1-laptop
845378      320573      80VF005CAU  Computers & Tablets  Lenovo Yoga 910 13.9" 2-in-1 L  LENOVO      2016-11-01   https://www.jbhifi.com.au/computers-tablets/laptops/lenovo/lenovo-yoga-910-13-9-2-in-1-laptop-g
845381      320571      80V4001TAU  Computers & Tablets  Lenovo Yoga 710 i7 14" 2-in-1   LENOVO      2016-11-01   https://www.jbhifi.com.au/computers-tablets/laptops/lenovo/lenovo-yoga-710-i7-14-2-in-1-laptop/
845017      318887      Z4K42PA#AB  Computers & Tablets  HP Stream x360 11-AB014TU 11"   HP          2016-11-01   https://www.jbhifi.com.au/computers-tablets/laptops/hp/hp-stream-x360-11-ab014tu-11-2-in-1-lapt
847101      324369      80QQ01D4AU  Computers & Tablets  Lenovo IdeaPad 100 15.6" Lapto  LENOVO      2016-11-01   https://www.jbhifi.com.au/computers-tablets/laptops/lenovo/lenovo-ideapad-100-15-6-laptop/32436
843375      954223      Z510853AU   Computers & Tablets  Dell Inspiron 15-5000 15" Lapt  DELL        2016-11-01   https://www.jbhifi.com.au/computers-tablets/laptops/dell/dell-inspiron-15-5000-15-laptop-i5/954
847602      314329      MLH32X/A    Computers & Tablets  Apple MacBook Pro 15" with Tou  APPLE       2016-10-28   https://www.jbhifi.com.au/computers-tablets/laptops/apple/apple-macbook-pro-15-with-touch-bar-2
759677      452760      MLL42X/A    Computers & Tablets  Apple MacBook Pro 13" 256GB (S  APPLE       2016-10-28   https://www.jbhifi.com.au/computers-tablets/laptops/apple/apple-macbook-pro-13-256gb-space-grey
847596      314333      MLH42X/A    Computers & Tablets  Apple MacBook Pro 15" with Tou  APPLE       2016-10-28   https://www.jbhifi.com.au/computers-tablets/laptops/apple/apple-macbook-pro-15-with-touch-bar-5
847599      314325      MLH12X/A    Computers & Tablets  Apple MacBook Pro 13" with Tou  APPLE       2016-10-28   https://www.jbhifi.com.au/computers-tablets/laptops/apple/apple-macbook-pro-13-with-touch-bar-2
759655      452761      MLUQ2X/A    Computers & Tablets  Apple MacBook Pro 13" 256GB (S  APPLE       2016-10-28   https://www.jbhifi.com.au/computers-tablets/laptops/apple/apple-macbook-pro-13-256gb-silver/452
843243      954219      Z510892AU   Computers & Tablets  Dell XPS 13.3" Touchscreen Lap  DELL        2016-10-17   https://www.jbhifi.com.au/computers-tablets/laptops/dell/dell-xps-13-3-touchscreen-laptop/95421
843376      954227      Z510860AU   Computers & Tablets  Dell Inspiron 15-5000 15" Lapt  DELL        2016-10-17   https://www.jbhifi.com.au/computers-tablets/laptops/dell/dell-inspiron-15-5000-15-laptop-a10/95
843245      954239      Z5197A3AU   Computers & Tablets  Alienware 17 17.3" Gaming Lapt  ALIENWARE   2016-10-17   https://www.jbhifi.com.au/computers-tablets/laptops/alienware/alienware-17-17-3-gaming-laptop/9
849146      329925      Z511233AU   Computers & Tablets  Dell Inspiron 15-3000 15.6" La  DELL        2016-10-17   https://www.jbhifi.com.au/computers-tablets/laptops/dell/dell-inspiron-15-3000-15-6-laptop-i3/3
841311      954176      Z510855AU   Computers & Tablets  Dell Inspiron 15-5000 15" Lapt  DELL        2016-10-17   https://www.jbhifi.com.au/computers-tablets/laptops/dell/dell-inspiron-15-5000-15-laptop-i7/954
845398      320565      80TJ00F9AU  Computers & Tablets  Lenovo IdeaPad 110 A8 15.6" La  LENOVO      2016-10-12   https://www.jbhifi.com.au/computers-tablets/laptops/lenovo/lenovo-ideapad-110-a8-15-6-laptop/32
842750      312412      Z1E09PA#AB  Computers & Tablets  HP 15-AY504TX 15" Laptop        HP          2016-10-03   https://www.jbhifi.com.au/computers-tablets/laptops/hp/hp-15-ay504tx-15-laptop/312412/         
843355      314118      Z1D93PA#AB  Computers & Tablets  HP Pavilion 15-AW013AX 15.6" L  HP          2016-10-03   https://www.jbhifi.com.au/computers-tablets/laptops/hp/hp-pavilion-15-aw013ax-15-6-laptop/31411
842751      312413      Z4K13PA#AB  Computers & Tablets  HP Spectre x360 13-W011TU 13.3  HP          2016-10-03   https://www.jbhifi.com.au/computers-tablets/laptops/hp/hp-spectre-x360-13-w011tu-13-3-2-in-1-la
842749      312409      Y8J99PA#AB  Computers & Tablets  HP 14-AN025AU 14" Laptop        HP          2016-10-03   https://www.jbhifi.com.au/computers-tablets/laptops/hp/hp-14-an025au-14-laptop/312409/         
843387      314119      Y4H01PA#AB  Computers & Tablets  HP Spectre 13-V112TU 13.3" Lap  HP          2016-10-03   https://www.jbhifi.com.au/computers-tablets/laptops/hp/hp-spectre-13-v112tu-13-3-laptop/314119/
842748      312411      Z1E00PA#AB  Computers & Tablets  HP 15-BA038AU 15" Laptop        HP          2016-10-03   https://www.jbhifi.com.au/computers-tablets/laptops/hp/hp-15-ba038au-15-laptop/312411/         
841303      954158      Z510835AU   Computers & Tablets  Dell Inspiron Z510835AU 11" 30  DELL        2016-10-03   https://www.jbhifi.com.au/computers-tablets/laptops/dell/dell-inspiron-z510835au-11-3000-2-in-1
842752      312410      Z1E02PA#AB  Computers & Tablets  HP 11-AB009TU X360 11" 2-in1 T  HP          2016-10-03   https://www.jbhifi.com.au/computers-tablets/laptops/hp/hp-11-ab009tu-x360-11-2-in1-touchscreen-
