2017-03-17 01:06:25.885466,854562,352993,88985408622,Music,Original Album Classics - Carole King,SONY MUSIC SBT,2017-03-17,https://www.jbhifi.com.au/music/browse/singer-songwriter/original-album-classics-carole-king/352993/
2017-03-17 01:08:00.398553,855568,360715,STLP010,Music,Ripe Dreams- Pipe Dreams (Vinyl),WARNER,2017-03-31,https://www.jbhifi.com.au/music/Whats-Hot/singer-songwriter-alternative/ripe-dreams-pipe-dreams-vinyl/360715/
2017-03-17 01:10:00.087044,855567,360711,8122793464,Music,Detour (Jewelcase Version),WARNER,2017-03-31,https://www.jbhifi.com.au/music/browse/country-pop/detour-jewelcase-version/360711/
2017-03-17 01:10:34.224698,855451,360738,LAUNCH105CD,Music,Tschak!,ROCKET LOCAL,2017-03-10,https://www.jbhifi.com.au/music/browse/psych-rock-alternative/tschak/360738/
2017-03-17 01:11:38.631076,855454,360726,TJ431CD,Music,Hopes Of Failure,ROCKET LOCAL,2017-03-10,https://www.jbhifi.com.au/music/browse/metal/hopes-of-failure/360726/
2017-03-17 01:11:42.877240,855455,360734,MBL155042,Music,Shadow Archetype,ROCKET LOCAL,2017-03-10,https://www.jbhifi.com.au/music/browse/metal/shadow-archetype/360734/
2017-03-17 01:11:47.401869,855460,360750,MBL154982,Music,Further Side,ROCKET LOCAL,2017-03-10,https://www.jbhifi.com.au/music/browse/progressive-metal-metal/further-side/360750/
2017-03-17 01:11:52.495816,855453,360754,LORD236CD,Music,Nightmare Logic,ROCKET LOCAL,2017-03-10,https://www.jbhifi.com.au/music/browse/metal/nightmare-logic/360754/
2017-03-17 01:11:57.048593,855450,360730,KSCOPE453,Music,Planets & Persona,ROCKET LOCAL,2017-03-10,https://www.jbhifi.com.au/music/browse/progressive-metal-metal/planets-persona/360730/
2017-03-17 01:16:34.778645,855073,323918,323918,Cameras,Nikon KeyMission Helment Strap Mount,NIKON,2017-03-07,https://www.jbhifi.com.au/cameras/camera-accessories/nikon/nikon-keymission-helment-strap-mount/323918/
2017-03-17 01:16:39.276586,855077,330015,330015,Cameras,Nikon KeyMission Surfboard Mount,NIKON,2017-03-07,https://www.jbhifi.com.au/cameras/camera-accessories/nikon/nikon-keymission-surfboard-mount/330015/
2017-03-17 01:16:47.751015,855076,330030,VAW25301,Cameras,Nikon KeyMission Handy Grip,NIKON,2017-03-07,https://www.jbhifi.com.au/cameras/camera-accessories/nikon/nikon-keymission-handy-grip/330030/
2017-03-17 01:16:56.331992,855072,323917,VHW00401,Cameras,Nikon KeyMission Waterproof Case,NIKON,2017-03-07,https://www.jbhifi.com.au/cameras/camera-accessories/nikon/nikon-keymission-waterproof-case/323917/
2017-03-17 01:19:47.844744,794555,659686,F8W623BTC00,Phones,Belkin iPhone 6/6s Plus Folio (Black),BELKIN,2010-07-20,https://www.jbhifi.com.au/phones/all-phones/belkin/belkin-iphone-6-6s-plus-folio-black/659686/
2017-03-17 01:19:52.416157,831946,953102,IPH-1376-BLK-INTL,Phones,Incipio Isla Case for iPhone 6/6s (Black),INCIPIO,2016-04-14,https://www.jbhifi.com.au/phones/all-phones/incipio/incipio-isla-case-for-iphone-6-6s-black/953102/
2017-03-17 01:19:56.778457,806925,719709,TAIE3125ORATHUL,Phones,Thule Atmos X3 Case for iPhone 6 Plus (Orange),THULE,2015-05-14,https://www.jbhifi.com.au/phones/all-phones/thule/thule-atmos-x3-case-for-iphone-6-plus-orange/719709/
2017-03-17 01:20:01.428855,806926,719705,TAIE3124WHTHULE,Phones,Thule Atmos X3 Case for iPhone 6 (White),THULE,2015-05-14,https://www.jbhifi.com.au/phones/all-phones/thule/thule-atmos-x3-case-for-iphone-6-white/719705/
2017-03-17 01:20:06.222142,806927,719712,TAIE3125WHTHULE,Phones,Thule Atmos X3 Case for iPhone 6 Plus (White),THULE,2015-05-14,https://www.jbhifi.com.au/phones/all-phones/thule/thule-atmos-x3-case-for-iphone-6-plus-white/719712/
2017-03-17 01:20:11.141713,806937,719704,TAIE3124ORCTHUL,Phones,Thule Atmos X3 Case for iPhone 6 (Orchid),THULE,2015-05-14,https://www.jbhifi.com.au/phones/all-phones/thule/thule-atmos-x3-case-for-iphone-6-orchid/719704/
2017-03-17 01:30:58.946709,855514,986988,BAG-110,Musical Instruments,UXL BAG-110 Full Size Dreadnought Gig Bag,UXL,2016-03-01,https://www.jbhifi.com.au/musical-instruments/uxl/uxl-bag-110-full-size-dreadnought-gig-bag/986988/
2017-03-17 01:34:57.666241,369840,309079,HR6BF47,Whitegoods & Appliances,Hisense HR6BF47 47L Bar Fridge,HISENSE,2012-12-19,https://www.jbhifi.com.au/whitegoods-appliances/fridges-freezers/hisense/hisense-hr6bf47-47l-bar-fridge/309079/
2017-03-17 01:35:07.212788,800320,689713,HR6BMFF435D,Whitegoods & Appliances,Hisense HR6BMFF435D 435L Frost Free Bottom Mount Fridge,HISENSE,2016-09-17,https://www.jbhifi.com.au/whitegoods-appliances/fridges-freezers/hisense/hisense-hr6bmff435d-435l-frost-free-bottom-mount-fridge/689713/
2017-03-17 01:35:11.958344,795728,665006,HR6BMFF435SD,Whitegoods & Appliances,Hisense HR6BMFF435SD 435L Bottom Mount Fridge (S/Steel),HISENSE,2012-12-19,https://www.jbhifi.com.au/whitegoods-appliances/fridges-freezers/hisense/hisense-hr6bmff435sd-435l-bottom-mount-fridge-s-steel/665006/
2017-03-17 01:35:55.102723,854639,360283,GV9060,Whitegoods & Appliances,Tefal Pro Express Care Steam Station,TEFAL,2017-03-01,https://www.jbhifi.com.au/whitegoods-appliances/laundry/tefal/tefal-pro-express-care-steam-station/360283/
2017-03-17 01:36:11.313253,855239,401711,401711,Whitegoods & Appliances,Sunbeam CHP200 Crock-Pot Traditional,SUNBEAM,2017-03-09,https://www.jbhifi.com.au/whitegoods-appliances/kitchen-appliances/sunbeam/sunbeam-chp200-crock-pot-traditional/401711/
2017-03-17 01:36:24.406793,854640,360284,KO371860,Whitegoods & Appliances,Tefal Safe to Touch Kettle (Matte Black),TEFAL,2017-03-01,https://www.jbhifi.com.au/whitegoods-appliances/kitchen-appliances/tefal/tefal-safe-to-touch-kettle-matte-black/360284/
2017-03-17 01:37:00.530784,854637,360280,CY505,Whitegoods & Appliances,Tefal CY505 Multi Cooker,TEFAL,2017-03-01,https://www.jbhifi.com.au/whitegoods-appliances/kitchen-appliances/tefal/tefal-cy505-multi-cooker/360280/
